Date,Appliances,Relation,Appliance start times
01-01,['kitchen_lights', 'microwave'],>,['13:15:00', '13:30:00']
02-17,['subwoofer_livingroom', 'kitchen_lights'],>,['18:15:00', '20:30:00']
02-17,['subwoofer_livingroom', 'kitchen_lights'],>,['18:15:00', '21:30:00']
02-17,['subwoofer_livingroom', 'tv'],>,['18:15:00', '18:15:00']
02-17,['htpc', 'kitchen_lights'],>,['18:15:00', '20:00:00']
02-17,['htpc', 'kitchen_lights'],>,['18:15:00', '20:30:00']
02-17,['htpc', 'kitchen_lights'],>,['18:15:00', '21:30:00']
02-17,['htpc', 'tv'],>,['18:15:00', '18:15:00']
02-17,['htpc', 'tv'],>,['18:15:00', '20:15:00']
02-17,['htpc', 'subwoofer_livingroom'],>,['18:15:00', '18:15:00']
02-18,['kitchen_lights', 'microwave'],>,['12:45:00', '12:45:00']
02-18,['tv', 'kitchen_lights'],>,['20:30:00', '21:30:00']
02-18,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:30:00', '19:45:00']
02-18,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:30:00', '21:30:00']
02-18,['amp_livingroom', 'kitchen_lights'],>,['20:30:00', '21:30:00']
02-18,['amp_livingroom', 'tv'],>,['20:30:00', '20:30:00']
02-18,['amp_livingroom', 'subwoofer_livingroom'],>,['18:15:00', '18:30:00']
02-18,['amp_livingroom', 'subwoofer_livingroom'],>,['20:30:00', '20:30:00']
02-18,['subwoofer_livingroom', 'kitchen_lights'],>,['20:30:00', '21:30:00']
02-18,['subwoofer_livingroom', 'tv'],>,['20:30:00', '20:30:00']
02-18,['htpc', 'kitchen_lights'],>,['21:30:00', '21:30:00']
02-18,['htpc', 'tv'],>,['18:15:00', '18:15:00']
02-18,['htpc', 'subwoofer_livingroom'],>,['18:15:00', '18:30:00']
02-19,['htpc', 'kitchen_lights'],>,['20:45:00', '20:45:00']
02-19,['hifi_office', 'office_lamp3'],>,['16:15:00', '16:15:00']
02-19,['lcd_office', 'office_lamp3'],>,['07:15:00', '07:15:00']
02-19,['lcd_office', 'office_lamp3'],>,['14:15:00', '16:15:00']
02-19,['gigE_&_USBhub', 'hifi_office'],>,['07:15:00', '08:15:00']
02-19,['gigE_&_USBhub', 'hifi_office'],>,['07:15:00', '16:15:00']
02-19,['gigE_&_USBhub', 'lcd_office'],>,['07:15:00', '07:15:00']
02-19,['gigE_&_USBhub', 'lcd_office'],>,['07:15:00', '14:15:00']
02-19,['gigE_&_USBhub', 'laptop'],>,['07:15:00', '07:15:00']
02-19,['gigE_&_USBhub', 'laptop'],>,['07:15:00', '14:30:00']
02-19,['gigE_&_USBhub', 'office_lamp3'],>,['07:15:00', '07:15:00']
02-19,['gigE_&_USBhub', 'office_lamp3'],>,['07:15:00', '16:15:00']
02-19,['laptop', 'lcd_office'],>,['07:15:00', '07:15:00']
02-19,['laptop', 'office_lamp3'],>,['07:15:00', '07:15:00']
02-19,['laptop', 'office_lamp3'],>,['14:30:00', '16:15:00']
02-20,['htpc', 'kitchen_lights'],>,['18:45:00', '20:00:00']
02-20,['hifi_office', 'office_lamp3'],>,['20:00:00', '20:00:00']
02-20,['lcd_office', 'office_lamp3'],>,['08:00:00', '08:15:00']
02-20,['lcd_office', 'office_lamp3'],>,['20:00:00', '20:00:00']
02-20,['gigE_&_USBhub', 'hifi_office'],>,['08:00:00', '09:15:00']
02-20,['gigE_&_USBhub', 'hifi_office'],>,['20:00:00', '20:00:00']
02-20,['gigE_&_USBhub', 'lcd_office'],>,['08:00:00', '08:00:00']
02-20,['gigE_&_USBhub', 'lcd_office'],>,['20:00:00', '20:00:00']
02-20,['gigE_&_USBhub', 'laptop'],>,['08:00:00', '08:00:00']
02-20,['gigE_&_USBhub', 'laptop'],>,['20:00:00', '20:00:00']
02-20,['gigE_&_USBhub', 'office_lamp3'],>,['08:00:00', '08:15:00']
02-20,['gigE_&_USBhub', 'office_lamp3'],>,['20:00:00', '20:00:00']
02-20,['laptop', 'lcd_office'],>,['08:00:00', '08:00:00']
02-20,['laptop', 'lcd_office'],>,['20:00:00', '20:00:00']
02-20,['laptop', 'office_lamp3'],>,['08:00:00', '08:15:00']
02-20,['laptop', 'office_lamp3'],>,['20:00:00', '20:00:00']
02-21,['livingroom_lamp_tv', 'kitchen_lights'],>,['21:15:00', '21:30:00']
02-22,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:15:00', '22:00:00']
02-22,['amp_livingroom', 'kitchen_lights'],>,['19:45:00', '22:00:00']
02-22,['amp_livingroom', 'tv'],>,['19:45:00', '19:45:00']
02-22,['amp_livingroom', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
02-22,['subwoofer_livingroom', 'kitchen_lights'],>,['19:45:00', '22:00:00']
02-22,['subwoofer_livingroom', 'tv'],>,['19:45:00', '19:45:00']
02-22,['htpc', 'kitchen_lights'],>,['21:45:00', '22:00:00']
02-22,['lcd_office', 'office_lamp3'],>,['07:00:00', '07:00:00']
02-22,['gigE_&_USBhub', 'lcd_office'],>,['07:00:00', '07:00:00']
02-22,['gigE_&_USBhub', 'laptop'],>,['07:00:00', '07:00:00']
02-22,['gigE_&_USBhub', 'office_lamp3'],>,['07:00:00', '07:00:00']
02-22,['laptop', 'lcd_office'],>,['07:00:00', '07:00:00']
02-22,['laptop', 'office_lamp3'],>,['07:00:00', '07:00:00']
02-22,['hair_dryer', 'straighteners'],>,['08:30:00', '08:30:00']
02-23,['kitchen_lights', 'microwave'],>,['07:15:00', '08:00:00']
02-23,['kitchen_lights', 'microwave'],>,['12:30:00', '12:45:00']
02-23,['tv', 'kitchen_lights'],>,['20:00:00', '21:00:00']
02-23,['tv', 'kitchen_lights'],>,['20:00:00', '21:45:00']
02-23,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:15:00', '21:00:00']
02-23,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:15:00', '21:45:00']
02-23,['amp_livingroom', 'kitchen_lights'],>,['13:15:00', '17:00:00']
02-23,['amp_livingroom', 'kitchen_lights'],>,['13:15:00', '18:30:00']
02-23,['amp_livingroom', 'kitchen_lights'],>,['20:00:00', '21:00:00']
02-23,['amp_livingroom', 'kitchen_lights'],>,['20:00:00', '21:45:00']
02-23,['amp_livingroom', 'tv'],>,['13:15:00', '13:15:00']
02-23,['amp_livingroom', 'tv'],>,['20:00:00', '20:00:00']
02-23,['subwoofer_livingroom', 'kitchen_lights'],>,['13:15:00', '17:00:00']
02-23,['subwoofer_livingroom', 'kitchen_lights'],>,['13:15:00', '18:30:00']
02-23,['subwoofer_livingroom', 'kitchen_lights'],>,['13:15:00', '19:15:00']
02-23,['subwoofer_livingroom', 'kitchen_lights'],>,['13:15:00', '21:00:00']
02-23,['subwoofer_livingroom', 'kitchen_lights'],>,['13:15:00', '21:45:00']
02-23,['subwoofer_livingroom', 'tv'],>,['13:15:00', '13:15:00']
02-23,['subwoofer_livingroom', 'tv'],>,['13:15:00', '20:00:00']
02-23,['htpc', 'kitchen_lights'],>,['19:45:00', '21:00:00']
02-23,['htpc', 'kitchen_lights'],>,['19:45:00', '21:45:00']
02-23,['htpc', 'tv'],>,['19:45:00', '20:00:00']
02-24,['amp_livingroom', 'tv'],>,['19:45:00', '19:45:00']
02-24,['amp_livingroom', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
02-24,['subwoofer_livingroom', 'tv'],>,['19:45:00', '19:45:00']
02-24,['htpc', 'tv'],>,['19:45:00', '19:45:00']
02-24,['htpc', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
02-24,['hifi_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
02-24,['lcd_office', 'office_lamp3'],>,['10:15:00', '10:15:00']
02-24,['lcd_office', 'office_lamp3'],>,['15:00:00', '15:00:00']
02-24,['lcd_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
02-24,['gigE_&_USBhub', 'hifi_office'],>,['15:00:00', '18:00:00']
02-24,['gigE_&_USBhub', 'hifi_office'],>,['19:45:00', '19:45:00']
02-24,['gigE_&_USBhub', 'lcd_office'],>,['10:15:00', '10:15:00']
02-24,['gigE_&_USBhub', 'lcd_office'],>,['15:00:00', '15:00:00']
02-24,['gigE_&_USBhub', 'lcd_office'],>,['19:45:00', '19:45:00']
02-24,['gigE_&_USBhub', 'laptop'],>,['15:00:00', '15:00:00']
02-24,['gigE_&_USBhub', 'laptop'],>,['19:45:00', '19:45:00']
02-24,['gigE_&_USBhub', 'office_lamp3'],>,['10:15:00', '10:15:00']
02-24,['gigE_&_USBhub', 'office_lamp3'],>,['15:00:00', '15:00:00']
02-24,['gigE_&_USBhub', 'office_lamp3'],>,['19:45:00', '19:45:00']
02-24,['laptop', 'lcd_office'],>,['15:00:00', '15:00:00']
02-24,['laptop', 'lcd_office'],>,['19:45:00', '19:45:00']
02-24,['laptop', 'office_lamp3'],>,['15:00:00', '15:00:00']
02-24,['laptop', 'office_lamp3'],>,['19:45:00', '19:45:00']
02-24,['hair_dryer', 'straighteners'],>,['16:15:00', '16:15:00']
02-25,['kitchen_lights', 'microwave'],>,['17:30:00', '17:45:00']
02-25,['tv', 'kitchen_lights'],>,['19:00:00', '20:15:00']
02-25,['tv', 'kitchen_lights'],>,['19:00:00', '21:00:00']
02-25,['livingroom_lamp_tv', 'kitchen_lights'],>,['21:00:00', '21:00:00']
02-25,['amp_livingroom', 'kitchen_lights'],>,['19:00:00', '20:15:00']
02-25,['amp_livingroom', 'kitchen_lights'],>,['19:00:00', '21:00:00']
02-25,['amp_livingroom', 'tv'],>,['19:00:00', '19:00:00']
02-25,['amp_livingroom', 'subwoofer_livingroom'],>,['19:00:00', '19:00:00']
02-25,['subwoofer_livingroom', 'kitchen_lights'],>,['19:00:00', '20:15:00']
02-25,['subwoofer_livingroom', 'kitchen_lights'],>,['19:00:00', '21:00:00']
02-25,['subwoofer_livingroom', 'tv'],>,['19:00:00', '19:00:00']
02-25,['htpc', 'kitchen_lights'],>,['19:00:00', '20:15:00']
02-25,['htpc', 'kitchen_lights'],>,['19:00:00', '21:00:00']
02-25,['htpc', 'tv'],>,['19:00:00', '19:00:00']
02-25,['htpc', 'subwoofer_livingroom'],>,['19:00:00', '19:00:00']
02-25,['hifi_office', 'office_lamp3'],>,['09:00:00', '09:00:00']
02-25,['hifi_office', 'office_lamp3'],>,['19:30:00', '19:30:00']
02-25,['lcd_office', 'office_lamp3'],>,['09:00:00', '09:00:00']
02-25,['lcd_office', 'office_lamp3'],>,['19:30:00', '19:30:00']
02-25,['gigE_&_USBhub', 'hifi_office'],>,['09:00:00', '09:00:00']
02-25,['gigE_&_USBhub', 'hifi_office'],>,['19:30:00', '19:30:00']
02-25,['gigE_&_USBhub', 'lcd_office'],>,['09:00:00', '09:00:00']
02-25,['gigE_&_USBhub', 'lcd_office'],>,['19:30:00', '19:30:00']
02-25,['gigE_&_USBhub', 'laptop'],>,['09:00:00', '09:00:00']
02-25,['gigE_&_USBhub', 'laptop'],>,['19:30:00', '19:30:00']
02-25,['gigE_&_USBhub', 'office_lamp3'],>,['09:00:00', '09:00:00']
02-25,['gigE_&_USBhub', 'office_lamp3'],>,['19:30:00', '19:30:00']
02-25,['laptop', 'lcd_office'],>,['09:00:00', '09:00:00']
02-25,['laptop', 'lcd_office'],>,['19:30:00', '19:30:00']
02-25,['laptop', 'office_lamp3'],>,['09:00:00', '09:00:00']
02-25,['laptop', 'office_lamp3'],>,['19:30:00', '19:30:00']
02-26,['kitchen_lights', 'microwave'],>,['17:15:00', '18:15:00']
02-26,['tv', 'kitchen_lights'],>,['18:45:00', '19:00:00']
02-26,['tv', 'kitchen_lights'],>,['18:45:00', '19:45:00']
02-26,['tv', 'kitchen_lights'],>,['18:45:00', '20:45:00']
02-26,['tv', 'kitchen_lights'],>,['18:45:00', '21:15:00']
02-26,['tv', 'kitchen_lights'],>,['18:45:00', '22:00:00']
02-26,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:45:00', '19:00:00']
02-26,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:45:00', '19:45:00']
02-26,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:45:00', '20:45:00']
02-26,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:45:00', '21:15:00']
02-26,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:45:00', '22:00:00']
02-26,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '17:15:00']
02-26,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '19:00:00']
02-26,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '19:45:00']
02-26,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '20:45:00']
02-26,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '21:15:00']
02-26,['amp_livingroom', 'kitchen_lights'],>,['16:30:00', '22:00:00']
02-26,['amp_livingroom', 'tv'],>,['16:30:00', '18:45:00']
02-26,['amp_livingroom', 'subwoofer_livingroom'],>,['16:30:00', '18:45:00']
02-26,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '19:00:00']
02-26,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '19:45:00']
02-26,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '20:45:00']
02-26,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '21:15:00']
02-26,['subwoofer_livingroom', 'kitchen_lights'],>,['18:45:00', '22:00:00']
02-26,['subwoofer_livingroom', 'tv'],>,['18:45:00', '18:45:00']
02-26,['htpc', 'kitchen_lights'],>,['18:45:00', '19:00:00']
02-26,['htpc', 'kitchen_lights'],>,['18:45:00', '19:45:00']
02-26,['htpc', 'kitchen_lights'],>,['18:45:00', '20:45:00']
02-26,['htpc', 'kitchen_lights'],>,['18:45:00', '21:15:00']
02-26,['htpc', 'kitchen_lights'],>,['18:45:00', '22:00:00']
02-26,['htpc', 'tv'],>,['18:45:00', '18:45:00']
02-26,['htpc', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
02-26,['hifi_office', 'office_lamp3'],>,['08:00:00', '08:00:00']
02-26,['hifi_office', 'office_lamp3'],>,['20:15:00', '20:15:00']
02-26,['lcd_office', 'office_lamp3'],>,['08:00:00', '08:00:00']
02-26,['lcd_office', 'office_lamp3'],>,['20:15:00', '20:15:00']
02-26,['gigE_&_USBhub', 'hifi_office'],>,['08:00:00', '08:00:00']
02-26,['gigE_&_USBhub', 'hifi_office'],>,['20:15:00', '20:15:00']
02-26,['gigE_&_USBhub', 'lcd_office'],>,['08:00:00', '08:00:00']
02-26,['gigE_&_USBhub', 'lcd_office'],>,['20:15:00', '20:15:00']
02-26,['gigE_&_USBhub', 'laptop'],>,['08:00:00', '08:00:00']
02-26,['gigE_&_USBhub', 'laptop'],>,['20:15:00', '20:15:00']
02-26,['gigE_&_USBhub', 'office_lamp3'],>,['08:00:00', '08:00:00']
02-26,['gigE_&_USBhub', 'office_lamp3'],>,['20:15:00', '20:15:00']
02-26,['laptop', 'lcd_office'],>,['08:00:00', '08:00:00']
02-26,['laptop', 'lcd_office'],>,['20:15:00', '20:15:00']
02-26,['laptop', 'office_lamp3'],>,['08:00:00', '08:00:00']
02-26,['laptop', 'office_lamp3'],>,['20:15:00', '20:15:00']
02-27,['tv', 'kitchen_lights'],>,['19:15:00', '19:15:00']
02-27,['tv', 'kitchen_lights'],>,['19:15:00', '20:45:00']
02-27,['livingroom_lamp_tv', 'kitchen_lights'],>,['17:30:00', '19:15:00']
02-27,['livingroom_lamp_tv', 'kitchen_lights'],>,['17:30:00', '20:45:00']
02-27,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '19:15:00']
02-27,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '20:45:00']
02-27,['amp_livingroom', 'tv'],>,['16:00:00', '16:00:00']
02-27,['amp_livingroom', 'tv'],>,['19:15:00', '19:15:00']
02-27,['amp_livingroom', 'subwoofer_livingroom'],>,['16:00:00', '16:00:00']
02-27,['amp_livingroom', 'subwoofer_livingroom'],>,['19:15:00', '19:15:00']
02-27,['subwoofer_livingroom', 'kitchen_lights'],>,['19:15:00', '19:15:00']
02-27,['subwoofer_livingroom', 'kitchen_lights'],>,['19:15:00', '20:45:00']
02-27,['subwoofer_livingroom', 'tv'],>,['16:00:00', '16:00:00']
02-27,['subwoofer_livingroom', 'tv'],>,['19:15:00', '19:15:00']
02-27,['htpc', 'kitchen_lights'],>,['19:15:00', '19:15:00']
02-27,['htpc', 'kitchen_lights'],>,['19:15:00', '20:45:00']
02-27,['htpc', 'tv'],>,['19:15:00', '19:15:00']
02-27,['htpc', 'subwoofer_livingroom'],>,['19:15:00', '19:15:00']
02-27,['hifi_office', 'office_lamp3'],>,['08:30:00', '08:30:00']
02-27,['gigE_&_USBhub', 'hifi_office'],>,['08:30:00', '08:30:00']
02-27,['gigE_&_USBhub', 'lcd_office'],>,['08:30:00', '08:30:00']
02-27,['gigE_&_USBhub', 'lcd_office'],>,['08:30:00', '18:45:00']
02-27,['gigE_&_USBhub', 'laptop'],>,['08:30:00', '08:30:00']
02-27,['gigE_&_USBhub', 'office_lamp3'],>,['08:30:00', '08:30:00']
02-27,['laptop', 'lcd_office'],>,['08:30:00', '08:30:00']
02-27,['laptop', 'lcd_office'],>,['08:30:00', '18:45:00']
02-27,['laptop', 'office_lamp3'],>,['08:30:00', '08:30:00']
02-27,['hair_dryer', 'straighteners'],>,['08:45:00', '08:45:00']
02-28,['amp_livingroom', 'tv'],>,['18:45:00', '18:45:00']
02-28,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
02-28,['subwoofer_livingroom', 'tv'],>,['18:45:00', '18:45:00']
02-28,['hifi_office', 'office_lamp3'],>,['07:00:00', '07:15:00']
02-28,['hifi_office', 'office_lamp3'],>,['14:00:00', '14:00:00']
02-28,['lcd_office', 'office_lamp3'],>,['07:00:00', '07:15:00']
02-28,['gigE_&_USBhub', 'hifi_office'],>,['07:00:00', '07:00:00']
02-28,['gigE_&_USBhub', 'hifi_office'],>,['14:00:00', '14:00:00']
02-28,['gigE_&_USBhub', 'lcd_office'],>,['07:00:00', '07:00:00']
02-28,['gigE_&_USBhub', 'lcd_office'],>,['14:00:00', '14:00:00']
02-28,['gigE_&_USBhub', 'lcd_office'],>,['14:00:00', '19:15:00']
02-28,['gigE_&_USBhub', 'laptop'],>,['07:00:00', '07:00:00']
02-28,['gigE_&_USBhub', 'laptop'],>,['14:00:00', '19:15:00']
02-28,['gigE_&_USBhub', 'office_lamp3'],>,['07:00:00', '07:15:00']
02-28,['gigE_&_USBhub', 'office_lamp3'],>,['14:00:00', '14:00:00']
02-28,['laptop', 'lcd_office'],>,['07:00:00', '07:00:00']
02-28,['laptop', 'lcd_office'],>,['19:15:00', '19:15:00']
02-28,['laptop', 'office_lamp3'],>,['07:00:00', '07:15:00']
03-01,['kitchen_lights', 'microwave'],>,['17:15:00', '18:30:00']
03-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:30:00', '21:15:00']
03-01,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:30:00', '22:00:00']
03-01,['amp_livingroom', 'tv'],>,['22:30:00', '22:30:00']
03-01,['amp_livingroom', 'subwoofer_livingroom'],>,['22:30:00', '22:30:00']
03-01,['subwoofer_livingroom', 'tv'],>,['22:30:00', '22:30:00']
03-01,['htpc', 'kitchen_lights'],>,['21:15:00', '21:15:00']
03-01,['htpc', 'kitchen_lights'],>,['21:15:00', '22:00:00']
03-01,['gigE_&_USBhub', 'lcd_office'],>,['09:45:00', '09:45:00']
03-02,['kitchen_lights', 'microwave'],>,['12:45:00', '12:45:00']
03-02,['livingroom_lamp_tv', 'kitchen_lights'],>,['12:30:00', '12:45:00']
03-02,['amp_livingroom', 'tv'],>,['13:30:00', '13:30:00']
03-02,['amp_livingroom', 'tv'],>,['20:30:00', '20:30:00']
03-02,['amp_livingroom', 'subwoofer_livingroom'],>,['11:15:00', '11:15:00']
03-02,['amp_livingroom', 'subwoofer_livingroom'],>,['13:30:00', '13:30:00']
03-02,['amp_livingroom', 'subwoofer_livingroom'],>,['20:30:00', '20:30:00']
03-02,['subwoofer_livingroom', 'tv'],>,['13:30:00', '13:30:00']
03-02,['subwoofer_livingroom', 'tv'],>,['20:30:00', '20:30:00']
03-02,['htpc', 'kitchen_lights'],>,['19:45:00', '20:00:00']
03-02,['htpc', 'kitchen_lights'],>,['19:45:00', '21:45:00']
03-02,['htpc', 'tv'],>,['13:30:00', '13:30:00']
03-02,['htpc', 'tv'],>,['19:45:00', '20:30:00']
03-02,['htpc', 'subwoofer_livingroom'],>,['13:30:00', '13:30:00']
03-02,['htpc', 'subwoofer_livingroom'],>,['19:45:00', '20:30:00']
03-03,['tv', 'kitchen_lights'],>,['20:45:00', '20:45:00']
03-03,['amp_livingroom', 'subwoofer_livingroom'],>,['21:00:00', '21:00:00']
03-03,['htpc', 'kitchen_lights'],>,['20:45:00', '20:45:00']
03-03,['htpc', 'tv'],>,['20:45:00', '20:45:00']
03-03,['htpc', 'subwoofer_livingroom'],>,['20:45:00', '21:00:00']
03-03,['lcd_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
03-03,['gigE_&_USBhub', 'hifi_office'],>,['19:45:00', '19:45:00']
03-03,['gigE_&_USBhub', 'lcd_office'],>,['19:45:00', '19:45:00']
03-03,['gigE_&_USBhub', 'laptop'],>,['19:45:00', '19:45:00']
03-03,['gigE_&_USBhub', 'office_lamp3'],>,['19:45:00', '19:45:00']
03-03,['laptop', 'lcd_office'],>,['19:45:00', '19:45:00']
03-03,['laptop', 'office_lamp3'],>,['19:45:00', '19:45:00']
03-04,['amp_livingroom', 'subwoofer_livingroom'],>,['22:00:00', '22:00:00']
03-04,['htpc', 'subwoofer_livingroom'],>,['22:00:00', '22:00:00']
03-04,['hifi_office', 'office_lamp3'],>,['19:15:00', '19:15:00']
03-04,['lcd_office', 'office_lamp3'],>,['08:30:00', '15:15:00']
03-04,['lcd_office', 'office_lamp3'],>,['19:15:00', '19:15:00']
03-04,['gigE_&_USBhub', 'hifi_office'],>,['19:15:00', '19:15:00']
03-04,['gigE_&_USBhub', 'lcd_office'],>,['19:15:00', '19:15:00']
03-04,['gigE_&_USBhub', 'laptop'],>,['19:15:00', '19:15:00']
03-04,['gigE_&_USBhub', 'office_lamp3'],>,['19:15:00', '19:15:00']
03-04,['laptop', 'lcd_office'],>,['19:15:00', '19:15:00']
03-04,['laptop', 'office_lamp3'],>,['19:15:00', '19:15:00']
03-05,['htpc', 'kitchen_lights'],>,['20:45:00', '21:00:00']
03-05,['hifi_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
03-05,['lcd_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
03-05,['gigE_&_USBhub', 'hifi_office'],>,['07:45:00', '08:00:00']
03-05,['gigE_&_USBhub', 'hifi_office'],>,['19:45:00', '19:45:00']
03-05,['gigE_&_USBhub', 'lcd_office'],>,['07:45:00', '07:45:00']
03-05,['gigE_&_USBhub', 'lcd_office'],>,['19:45:00', '19:45:00']
03-05,['gigE_&_USBhub', 'laptop'],>,['07:45:00', '07:45:00']
03-05,['gigE_&_USBhub', 'laptop'],>,['19:45:00', '19:45:00']
03-05,['gigE_&_USBhub', 'office_lamp3'],>,['19:45:00', '19:45:00']
03-05,['laptop', 'lcd_office'],>,['07:45:00', '07:45:00']
03-05,['laptop', 'lcd_office'],>,['19:45:00', '19:45:00']
03-05,['laptop', 'office_lamp3'],>,['19:45:00', '19:45:00']
03-05,['hair_dryer', 'straighteners'],>,['09:30:00', '09:30:00']
03-06,['tv', 'kitchen_lights'],>,['21:15:00', '21:15:00']
03-06,['amp_livingroom', 'subwoofer_livingroom'],>,['21:30:00', '21:30:00']
03-06,['htpc', 'subwoofer_livingroom'],>,['21:30:00', '21:30:00']
03-06,['hifi_office', 'office_lamp3'],>,['20:00:00', '20:00:00']
03-06,['lcd_office', 'office_lamp3'],>,['20:00:00', '20:00:00']
03-06,['gigE_&_USBhub', 'hifi_office'],>,['08:00:00', '08:00:00']
03-06,['gigE_&_USBhub', 'hifi_office'],>,['20:00:00', '20:00:00']
03-06,['gigE_&_USBhub', 'lcd_office'],>,['08:00:00', '08:00:00']
03-06,['gigE_&_USBhub', 'lcd_office'],>,['20:00:00', '20:00:00']
03-06,['gigE_&_USBhub', 'laptop'],>,['08:00:00', '08:00:00']
03-06,['gigE_&_USBhub', 'laptop'],>,['20:00:00', '20:00:00']
03-06,['gigE_&_USBhub', 'office_lamp3'],>,['20:00:00', '20:00:00']
03-06,['laptop', 'lcd_office'],>,['08:00:00', '08:00:00']
03-06,['laptop', 'lcd_office'],>,['20:00:00', '20:00:00']
03-06,['laptop', 'office_lamp3'],>,['20:00:00', '20:00:00']
03-07,['kitchen_lights', 'microwave'],>,['11:45:00', '12:00:00']
03-07,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:00:00', '20:00:00']
03-07,['amp_livingroom', 'tv'],>,['17:45:00', '17:45:00']
03-07,['amp_livingroom', 'tv'],>,['19:00:00', '19:00:00']
03-07,['amp_livingroom', 'subwoofer_livingroom'],>,['17:45:00', '17:45:00']
03-07,['amp_livingroom', 'subwoofer_livingroom'],>,['19:00:00', '19:00:00']
03-07,['subwoofer_livingroom', 'tv'],>,['17:45:00', '17:45:00']
03-07,['subwoofer_livingroom', 'tv'],>,['19:00:00', '19:00:00']
03-07,['htpc', 'tv'],>,['17:45:00', '17:45:00']
03-07,['htpc', 'tv'],>,['19:00:00', '19:00:00']
03-07,['htpc', 'subwoofer_livingroom'],>,['17:45:00', '17:45:00']
03-07,['htpc', 'subwoofer_livingroom'],>,['19:00:00', '19:00:00']
03-07,['hifi_office', 'office_lamp3'],>,['20:45:00', '20:45:00']
03-07,['lcd_office', 'office_lamp3'],>,['20:45:00', '20:45:00']
03-07,['gigE_&_USBhub', 'hifi_office'],>,['20:45:00', '20:45:00']
03-07,['gigE_&_USBhub', 'lcd_office'],>,['20:45:00', '20:45:00']
03-07,['gigE_&_USBhub', 'laptop'],>,['20:45:00', '20:45:00']
03-07,['gigE_&_USBhub', 'office_lamp3'],>,['20:45:00', '20:45:00']
03-07,['laptop', 'lcd_office'],>,['20:45:00', '20:45:00']
03-07,['laptop', 'office_lamp3'],>,['20:45:00', '20:45:00']
03-07,['hair_dryer', 'straighteners'],>,['19:30:00', '19:30:00']
03-08,['tv', 'kitchen_lights'],>,['19:45:00', '21:00:00']
03-08,['tv', 'kitchen_lights'],>,['19:45:00', '21:45:00']
03-08,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:15:00', '21:00:00']
03-08,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:15:00', '21:45:00']
03-08,['amp_livingroom', 'kitchen_lights'],>,['15:45:00', '17:00:00']
03-08,['amp_livingroom', 'kitchen_lights'],>,['20:00:00', '21:00:00']
03-08,['amp_livingroom', 'kitchen_lights'],>,['20:00:00', '21:45:00']
03-08,['amp_livingroom', 'tv'],>,['15:45:00', '15:45:00']
03-08,['amp_livingroom', 'subwoofer_livingroom'],>,['15:45:00', '15:45:00']
03-08,['amp_livingroom', 'subwoofer_livingroom'],>,['20:00:00', '20:00:00']
03-08,['subwoofer_livingroom', 'kitchen_lights'],>,['15:45:00', '17:00:00']
03-08,['subwoofer_livingroom', 'kitchen_lights'],>,['20:00:00', '21:00:00']
03-08,['subwoofer_livingroom', 'kitchen_lights'],>,['20:00:00', '21:45:00']
03-08,['subwoofer_livingroom', 'tv'],>,['15:45:00', '15:45:00']
03-08,['htpc', 'kitchen_lights'],>,['20:00:00', '21:00:00']
03-08,['htpc', 'kitchen_lights'],>,['20:00:00', '21:45:00']
03-08,['htpc', 'tv'],>,['15:45:00', '15:45:00']
